Geolocation,Commodity,Weights
....Basilan,01.1.1.16 - Corn,
....Basilan,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00687547
....Basilan,01.1.6 - Fruits and nuts (ND),0.00341397
....Basilan,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00824333
....Basilan,01.1.8.1 - Cane and beet sugar (ND),0.00221253
....Lanao del Sur,01.1.1.12 - Rice,0.08748796
....Lanao del Sur,01.1.1.16 - Corn,
....Lanao del Sur,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.0190824
....Lanao del Sur,01.1.6 - Fruits and nuts (ND),0.01032939
....Lanao del Sur,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01762181
....Lanao del Sur,01.1.8.1 - Cane and beet sugar (ND),0.00607003
....Maguindanao,01.1.1.12 - Rice,0.11752383
....Maguindanao,01.1.1.16 - Corn,0.00153023
....Maguindanao,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.02134276
....Maguindanao,01.1.6 - Fruits and nuts (ND),0.01135957
....Maguindanao,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.02022339
....Maguindanao,01.1.8.1 - Cane and beet sugar (ND),0.00518065
....Sulu,01.1.1.12 - Rice,0.00056169
....Sulu,01.1.1.16 - Corn,0.00181685
....Sulu,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.05844063
....Sulu,01.1.6 - Fruits and nuts (ND),0.00909973
....Sulu,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.0212672
....Sulu,01.1.8.1 - Cane and beet sugar (ND),0.0046866
....Tawi-tawi,01.1.1.12 - Rice,0.01879371
....Tawi-tawi,01.1.1.16 - Corn,0.0002101
....Tawi-tawi,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00841602
....Tawi-tawi,01.1.6 - Fruits and nuts (ND),0.00423736
....Tawi-tawi,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01063344
....Tawi-tawi,01.1.8.1 - Cane and beet sugar (ND),0.00255579
..Region XIII (Caraga),01.1.1.12 - Rice,0.27445946
..Region XIII (Caraga),01.1.1.16 - Corn,0.01992543
..Region XIII (Caraga),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.05181438
..Region XIII (Caraga),01.1.6 - Fruits and nuts (ND),0.03402766
..Region XIII (Caraga),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.06139518
..Region XIII (Caraga),01.1.8.1 - Cane and beet sugar (ND),0.00998856
....Agusan del Norte,01.1.1.12 - Rice,0.03410861
....Agusan del Norte,01.1.1.16 - Corn,0.00324597
....Agusan del Norte,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00617724
....Agusan del Norte,01.1.6 - Fruits and nuts (ND),0.00316006
....Agusan del Norte,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00695265
....Agusan del Norte,01.1.8.1 - Cane and beet sugar (ND),0.00122914
....Agusan del Sur,01.1.1.12 - Rice,0.06187363
....Agusan del Sur,01.1.1.16 - Corn,0.01116253
....Agusan del Sur,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01313069
....Agusan del Sur,01.1.6 - Fruits and nuts (ND),0.00943801
....Agusan del Sur,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01660455
....Agusan del Sur,01.1.8.1 - Cane and beet sugar (ND),0.00322725
....Surigao del Norte,01.1.1.12 - Rice,0.05890365
....Surigao del Norte,01.1.1.16 - Corn,0.00032124
....Surigao del Norte,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01149754
....Surigao del Norte,01.1.6 - Fruits and nuts (ND),0.00835532
....Surigao del Norte,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01371138
....Surigao del Norte,01.1.8.1 - Cane and beet sugar (ND),0.00176365
....Surigao del Sur,01.1.1.12 - Rice,0.06840707
....Surigao del Sur,01.1.1.16 - Corn,0.00330495
....Surigao del Sur,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00997978
....Surigao del Sur,01.1.6 - Fruits and nuts (ND),0.00685355
....Surigao del Sur,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01271787
....Surigao del Sur,01.1.8.1 - Cane and beet sugar (ND),0.00208164
....Dinagat Islands,01.1.1.12 - Rice,0.01400434
....Dinagat Islands,01.1.1.16 - Corn,0.00053951
....Dinagat Islands,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00209375
....Dinagat Islands,01.1.6 - Fruits and nuts (ND),0.00154647
....Dinagat Islands,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00279984
....Dinagat Islands,01.1.8.1 - Cane and beet sugar (ND),0.00038499
....City of Butuan (Capital),01.1.1.12 - Rice,0.03716216
....City of Butuan (Capital),01.1.1.16 - Corn,0.00135123
....City of Butuan (Capital),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00893538
....City of Butuan (Capital),01.1.6 - Fruits and nuts (ND),0.00467425
....City of Butuan (Capital),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00860889
....City of Butuan (Capital),01.1.8.1 - Cane and beet sugar (ND),0.00130189
