"Growth Rates of the Provincial Value of Production in Agriculture and Fisheries"

"Type of Valuation","Province","Subsector","2018-2019","2019-2020","2020-2021","2021-2022"
"Constant 2018 Prices","Camiguin","Poultry",5.2,19.9,16.8,-12.3
"Constant 2018 Prices","Camiguin","Fisheries",0.5,-12.7,36.7,-2.0
"Constant 2018 Prices","Camiguin","Agriculture and Fisheries",12.0,-3.2,1.6,-5.8
"Constant 2018 Prices","Lanao del Norte","Crops",2.1,3.3,1.3,1.0
"Constant 2018 Prices","Lanao del Norte","Livestock",4.4,-1.9,-8.3,11.3
"Constant 2018 Prices","Lanao del Norte","Poultry",9.6,9.9,-0.5,5.9
"Constant 2018 Prices","Lanao del Norte","Fisheries",2.8,-10.6,-0.2,-34.9
"Constant 2018 Prices","Lanao del Norte","Agriculture and Fisheries",2.8,-2.2,-0.1,-10.3
"Constant 2018 Prices","Misamis Occidental","Crops",-0.6,-0.3,0.1,-2.4
"Constant 2018 Prices","Misamis Occidental","Livestock",-0.3,1.0,-3.8,1.1
"Constant 2018 Prices","Misamis Occidental","Poultry",0.9,4.7,13.0,2.0
"Constant 2018 Prices","Misamis Occidental","Fisheries",-4.2,8.0,-8.6,-36.0
"Constant 2018 Prices","Misamis Occidental","Agriculture and Fisheries",-1.1,2.3,-1.1,-8.1
"Constant 2018 Prices","Misamis Oriental","Crops",-1.0,0.4,-0.4,3.9
"Constant 2018 Prices","Misamis Oriental","Livestock",-5.0,-5.0,0.1,-1.1
"Constant 2018 Prices","Misamis Oriental","Poultry",2.0,-1.3,-12.3,4.0
"Constant 2018 Prices","Misamis Oriental","Fisheries",-8.0,-41.4,-14.4,4.9
"Constant 2018 Prices","Misamis Oriental","Agriculture and Fisheries",-1.2,-3.4,-4.6,3.0
"Constant 2018 Prices","Davao de Oro","Crops",-1.9,-0.5,0.8,-2.2
"Constant 2018 Prices","Davao de Oro","Livestock",4.0,1.1,-5.7,-2.7
"Constant 2018 Prices","Davao de Oro","Poultry",-8.8,-0.5,3.4,12.9
"Constant 2018 Prices","Davao de Oro","Fisheries",-2.9,0.2,18.4,-14.3
"Constant 2018 Prices","Davao de Oro","Agriculture and Fisheries",-1.5,-0.4,0.4,-2.0
"Constant 2018 Prices","Davao del Norte","Crops",-4.7,-4.5,-1.6,0.4
"Constant 2018 Prices","Davao del Norte","Livestock",4.8,-5.7,-13.8,7.2
"Constant 2018 Prices","Davao del Norte","Poultry",19.8,-4.2,6.5,17.2
"Constant 2018 Prices","Davao del Norte","Fisheries",-12.6,32.0,28.3,-10.4
"Constant 2018 Prices","Davao del Norte","Agriculture and Fisheries",-3.0,-4.2,-2.0,1.6
"Constant 2018 Prices","Davao del Sur*","Crops",-5.4,3.2,0.9,-0.6
"Constant 2018 Prices","Davao del Sur*","Livestock",0.3,-2.9,-4.2,2.2
"Constant 2018 Prices","Davao del Sur*","Poultry",11.9,-7.5,-7.7,5.1
"Constant 2018 Prices","Davao del Sur*","Fisheries",-5.5,11.2,14.1,23.2
"Constant 2018 Prices","Davao del Sur*","Agriculture and Fisheries",-1.2,0.0,-1.4,1.9
"Constant 2018 Prices","Davao Occidental","Crops",-5.5,3.3,-0.2,1.2
"Constant 2018 Prices","Davao Occidental","Livestock",5.3,-45.0,-18.9,-0.1
"Constant 2018 Prices","Davao Occidental","Poultry",1.2,-34.3,39.7,1.3
"Constant 2018 Prices","Davao Occidental","Fisheries",4.0,-6.6,23.7,25.0
"Constant 2018 Prices","Davao Occidental","Agriculture and Fisheries",-2.7,-3.8,3.8,6.4
"Constant 2018 Prices","Davao Oriental","Crops",0.1,0.0,0.8,-0.1
"Constant 2018 Prices","Davao Oriental","Livestock",-8.0,-7.6,-5.2,-4.4
"Constant 2018 Prices","Davao Oriental","Poultry",-17.3,-6.6,5.4,10.6
"Constant 2018 Prices","Davao Oriental","Fisheries",-0.6,-17.0,-15.6,288.9
"Constant 2018 Prices","Davao Oriental","Agriculture and Fisheries",-2.2,-3.2,-1.3,20.7
"Constant 2018 Prices","Cotabato","Crops",-7.1,2.2,0.8,-3.8
"Constant 2018 Prices","Cotabato","Livestock",2.9,-6.6,-0.6,-7.9
"Constant 2018 Prices","Cotabato","Poultry",-0.7,-5.6,2.9,-2.8
"Constant 2018 Prices","Cotabato","Fisheries",-3.5,-19.9,11.9,12.0
"Constant 2018 Prices","Cotabato","Agriculture and Fisheries",-5.7,0.3,1.0,-3.9
"Constant 2018 Prices","Sarangani","Crops",-0.5,4.4,2.9,-3.7
"Constant 2018 Prices","Sarangani","Livestock",1.7,-4.6,-12.1,-8.8
"Constant 2018 Prices","Sarangani","Poultry",1.6,-9.6,-15.3,22.2
"Constant 2018 Prices","Sarangani","Fisheries",48.6,-5.1,20.9,62.6
"Constant 2018 Prices","Sarangani","Agriculture and Fisheries",5.5,1.3,3.4,8.5
"Constant 2018 Prices","South Cotabato","Crops",-5.8,-1.1,-0.6,-2.0
"Constant 2018 Prices","South Cotabato","Livestock",7.7,-1.5,4.0,10.8
"Constant 2018 Prices","South Cotabato","Poultry",7.6,8.3,5.8,21.7
"Constant 2018 Prices","South Cotabato","Fisheries",-13.9,0.5,-17.6,1.8
"Constant 2018 Prices","South Cotabato","Agriculture and Fisheries",-5.4,0.6,-4.6,4.8
"Constant 2018 Prices","Sultan Kudarat","Crops",-7.5,1.8,4.7,-0.7
"Constant 2018 Prices","Sultan Kudarat","Livestock",-3.7,0.1,-0.7,-14.9
"Constant 2018 Prices","Sultan Kudarat","Poultry",-11.1,1.9,-6.4,-11.9
"Constant 2018 Prices","Sultan Kudarat","Fisheries",-25.2,-28.8,78.9,18.0
"Constant 2018 Prices","Sultan Kudarat","Agriculture and Fisheries",-7.9,0.6,5.5,-1.7
"Constant 2018 Prices","Agusan del Norte","Crops",-1.8,-1.8,1.0,-1.2
"Constant 2018 Prices","Agusan del Norte","Livestock",-3.1,-0.6,-16.7,-17.7
"Constant 2018 Prices","Agusan del Norte","Poultry",-0.2,3.2,-0.7,20.8
"Constant 2018 Prices","Agusan del Norte","Fisheries",-0.9,-3.2,12.9,27.0
"Constant 2018 Prices","Agusan del Norte","Agriculture and Fisheries",-1.6,-0.8,-0.8,4.6
"Constant 2018 Prices","Agusan del Sur","Crops",-7.1,17.2,-5.2,2.8
"Constant 2018 Prices","Agusan del Sur","Livestock",0.0,-7.3,-19.1,-3.4
"Constant 2018 Prices","Agusan del Sur","Poultry",-4.3,1.5,-7.2,-15.3
"Constant 2018 Prices","Agusan del Sur","Fisheries",29.0,-9.2,-15.4,10.2
"Constant 2018 Prices","Agusan del Sur","Agriculture and Fisheries",-5.9,13.0,-6.8,1.4
"Constant 2018 Prices","Dinagat Islands","Crops",-15.1,11.3,-3.0,-19.3
"Constant 2018 Prices","Dinagat Islands","Livestock",9.0,6.8,-12.7,2.1
"Constant 2018 Prices","Dinagat Islands","Poultry",1.4,-5.2,-3.4,-32.1
"Constant 2018 Prices","Dinagat Islands","Fisheries",2.9,-0.7,-1.3,-11.9
"Constant 2018 Prices","Dinagat Islands","Agriculture and Fisheries",-2.3,3.5,-3.5,-13.3
"Constant 2018 Prices","Surigao del Norte","Crops",0.7,2.8,-6.9,-25.1
"Constant 2018 Prices","Surigao del Norte","Livestock",-6.2,-10.9,-32.5,-40.8
"Constant 2018 Prices","Surigao del Norte","Poultry",-34.5,-7.0,-7.3,-41.3
"Constant 2018 Prices","Surigao del Norte","Fisheries",-11.2,-8.3,-11.0,-12.2
"Constant 2018 Prices","Surigao del Norte","Agriculture and Fisheries",-6.7,-4.3,-12.4,-21.9
"Constant 2018 Prices","Surigao del Sur","Crops",-4.2,3.5,-10.4,0.2
"Constant 2018 Prices","Surigao del Sur","Livestock",7.3,-4.7,-10.6,-32.4
"Constant 2018 Prices","Surigao del Sur","Poultry",-5.9,-4.7,-1.8,-7.0
"Constant 2018 Prices","Surigao del Sur","Fisheries",-6.3,-3.0,-5.1,-3.0
"Constant 2018 Prices","Surigao del Sur","Agriculture and Fisheries",-3.6,0.9,-9.0,-4.1
"Constant 2018 Prices","Basilan","Crops",0.1,5.2,0.6,0.5
"Constant 2018 Prices","Basilan","Livestock",4.3,1.5,0.6,12.3
"Constant 2018 Prices","Basilan","Poultry",6.8,-3.9,-39.5,-7.7
"Constant 2018 Prices","Basilan","Fisheries",16.2,13.1,3.0,37.1
"Constant 2018 Prices","Basilan","Agriculture and Fisheries",2.7,5.2,-0.5,6.9
"Constant 2018 Prices","Lanao del Sur","Crops",6.6,1.0,1.2,0.0
"Constant 2018 Prices","Lanao del Sur","Livestock",-5.3,-16.3,2.1,21.9
"Constant 2018 Prices","Lanao del Sur","Poultry",1.4,21.9,-0.2,-1.0
"Constant 2018 Prices","Lanao del Sur","Fisheries",-19.0,1.7,0.5,-37.8
"Constant 2018 Prices","Lanao del Sur","Agriculture and Fisheries",4.5,1.1,1.1,-0.9
"Constant 2018 Prices","Maguindanao","Crops",8.1,3.6,5.8,-0.3
"Constant 2018 Prices","Maguindanao","Livestock",4.0,-14.9,6.4,-0.5
"Constant 2018 Prices","Maguindanao","Poultry",10.9,5.9,26.5,4.6
"Constant 2018 Prices","Maguindanao","Fisheries",-15.8,4.4,78.2,1.8
"Constant 2018 Prices","Maguindanao","Agriculture and Fisheries",4.7,3.0,14.0,0.1
"Constant 2018 Prices","Sulu","Crops",0.0,-0.9,0.7,-0.5
"Constant 2018 Prices","Sulu","Livestock",12.7,-4.2,31.2,8.2
"Constant 2018 Prices","Sulu","Poultry",-3.0,0.7,8.0,1.8
"Constant 2018 Prices","Sulu","Fisheries",19.0,1.6,-0.1,-2.8
"Constant 2018 Prices","Sulu","Agriculture and Fisheries",9.0,0.3,1.4,-1.2
"Constant 2018 Prices","Tawi-Tawi","Crops",-3.9,-0.4,1.6,-1.1
"Constant 2018 Prices","Tawi-Tawi","Livestock",32.7,-15.3,18.7,-31.5
"Constant 2018 Prices","Tawi-Tawi","Poultry",-2.3,3.4,-22.3,-16.3
"Constant 2018 Prices","Tawi-Tawi","Fisheries",15.2,1.1,6.1,39.7
"Constant 2018 Prices","Tawi-Tawi","Agriculture and Fisheries",8.7,0.3,4.4,25.7
