Crop,Geolocation,2013 Quarter1,2013 Quarter2,2013 Semester1,2013 Quarter3,2013 Quarter4,2013 Semester2,2013 Annual,2014 Quarter1,2014 Quarter2,2014 Semester1,2014 Quarter3,2014 Quarter4,2014 Semester2,2014 Annual,2015 Quarter1,2015 Quarter2,2015 Semester1,2015 Quarter3,2015 Quarter4,2015 Semester2,2015 Annual,2016 Quarter1,2016 Quarter2,2016 Semester1,2016 Quarter3,2016 Quarter4,2016 Semester2,2016 Annual,2017 Quarter1,2017 Quarter2,2017 Semester1,2017 Quarter3,2017 Quarter4,2017 Semester2,2017 Annual,2018 Quarter1,2018 Quarter2,2018 Semester1,2018 Quarter3,2018 Quarter4,2018 Semester2,2018 Annual,2019 Quarter1,2019 Quarter2,2019 Semester1,2019 Quarter3,2019 Quarter4,2019 Semester2,2019 Annual,2020 Quarter1,2020 Quarter2,2020 Semester1,2020 Quarter3,2020 Quarter4,2020 Semester2,2020 Annual,2021 Quarter1,2021 Quarter2,2021 Semester1,2021 Quarter3,2021 Quarter4,2021 Semester2,2021 Annual,2022 Quarter1,2022 Quarter2,2022 Semester1,2022 Quarter3,2022 Quarter4,2022 Semester2,2022 Annual,2023 Quarter1,2023 Quarter2,2023 Semester1,2023 Quarter3,2023 Quarter4,2023 Semester2,2023 Annual
Banana Bungulan,..CORDILLERA ADMINISTRATIVE REGION (CAR),1251.89,1726.16,2978.05,1394.56,1585.99,2980.55,5958.6,1312.74,1794.85,3107.59,1388.56,1490.82,2879.38,5986.97,1425.31,1863.38,3288.69,1330.56,1429.64,2760.2,6048.89,1399.71,1835.87,3235.58,1352.31,1013.1,2365.41,5600.99,1327.27,1717.89,3045.16,1350.02,1137.0,2487.02,5532.18,1342.16,1772.3,3114.46,1233.57,935.71,2169.28,5283.74,1039.6,1440.72,2480.32,1115.92,977.05,2092.97,4573.29,915.81,1402.14,2317.95,1133.81,948.48,2082.29,4400.24,919.26,1426.31,2345.57,1154.0,997.81,2151.81,4497.38,945.47,1494.69,2440.16,1209.6,1073.04,2282.64,4722.8,960.67,1411.72,2372.39,936.35,796.44,1732.79,4105.18
Banana Bungulan,..REGION I (ILOCOS REGION),218.31,657.08,875.39,483.73,532.98,1016.71,1892.1,217.17,662.34,879.52,459.01,533.64,992.65,1872.16,204.15,583.17,787.32,438.05,490.51,928.56,1715.88,190.99,529.82,720.81,472.49,487.26,959.75,1680.57,184.92,528.85,713.77,495.89,513.46,1009.35,1723.12,192.44,534.7,727.14,505.4,428.25,933.66,1660.8,170.76,512.09,682.85,522.77,441.6,964.37,1647.22,179.57,520.38,699.95,544.98,454.81,999.78,1699.73,192.56,536.33,728.89,570.78,443.17,1013.95,1742.84,170.28,542.0,712.28,586.29,466.5,1052.79,1765.07,177.4,585.6,763.0,414.07,347.39,761.47,1524.47
Banana Bungulan,..REGION II (CAGAYAN VALLEY),4249.76,746.13,4995.89,1467.23,1169.08,2636.31,7632.2,3716.95,721.51,4438.46,1405.62,1212.78,2618.4,7056.86,3253.81,718.25,3972.06,1228.8,1087.39,2316.19,6288.25,2797.07,1314.65,4111.72,1214.38,1031.92,2246.3,6358.02,1959.4,1251.26,3210.66,1028.12,1096.2,2124.32,5334.98,2146.65,1299.96,3446.61,1080.71,1002.11,2082.82,5529.42,2039.33,1065.78,3105.11,1069.74,1147.4,2217.13,5322.24,2100.46,1148.82,3249.27,1156.57,979.5,2136.07,5385.34,2060.51,1151.74,3212.25,1206.35,965.2,2171.55,5383.8,2216.93,1304.54,3521.47,1218.87,1129.71,2348.58,5870.05,2343.2,1531.4,3874.6,1198.97,1033.88,2232.85,6107.45
Banana Bungulan,..REGION III (CENTRAL LUZON),965.57,762.35,1727.92,993.93,946.54,1940.47,3668.39,907.67,691.39,1599.06,984.21,1044.82,2029.03,3628.09,919.84,693.17,1613.01,1103.27,736.85,1840.12,3453.13,624.4,330.8,955.2,984.59,652.91,1637.5,2592.7,598.35,273.95,872.3,1049.45,660.45,1709.9,2582.2,565.82,283.65,849.47,1120.36,594.03,1714.39,2563.86,588.07,263.43,851.5,1140.84,619.73,1760.57,2612.07,587.26,284.68,871.94,1339.35,568.86,1908.21,2780.15,596.59,240.43,837.02,953.44,530.93,1484.37,2321.39,591.1,283.72,874.82,976.72,497.89,1474.61,2349.43,494.9,302.85,797.75,787.77,506.54,1294.31,2092.06
Banana Bungulan,..REGION IV-A (CALABARZON),709.52,1339.57,2049.09,1930.06,303.98,2234.04,4283.13,650.17,1312.07,1962.24,1660.6,122.06,1782.66,3744.9,366.61,872.1,1238.71,1681.04,190.71,1871.75,3110.46,622.63,995.47,1618.1,1766.32,203.24,1969.56,3587.66,597.82,1048.21,1646.02,1545.58,201.68,1747.26,3393.28,501.59,1084.33,1585.92,1525.76,194.84,1720.6,3306.52,463.22,1069.69,1532.91,1434.25,194.21,1628.46,3161.37,411.81,1011.51,1423.32,1395.94,139.8,1535.74,2959.06,264.83,951.27,1216.1,973.13,150.55,1123.68,2339.78,362.09,987.42,1349.51,857.44,145.51,1002.95,2352.46,260.61,895.73,1156.34,851.34,157.35,1008.69,2165.03
Banana Bungulan,..MIMAROPA REGION,651.84,964.14,1615.98,973.85,435.9,1409.75,3025.73,579.07,704.75,1283.82,930.52,453.84,1384.36,2668.18,556.82,682.44,1239.26,924.47,470.27,1394.74,2634.0,427.05,446.33,873.38,737.62,458.68,1196.3,2069.68,390.51,417.49,808.0,713.12,464.11,1177.23,1985.23,402.15,438.3,840.45,738.49,498.45,1236.94,2077.39,401.45,423.35,824.8,893.14,495.08,1388.22,2213.02,293.9,229.64,523.54,663.23,334.5,997.73,1521.27,269.47,193.76,463.23,373.24,298.91,672.15,1135.38,283.66,192.96,476.62,476.26,352.11,828.37,1304.99,320.09,236.17,556.26,314.9,322.04,636.94,1193.2
Banana Bungulan,..REGION V (BICOL REGION),1762.14,2358.32,4120.47,3402.1,1617.16,5019.26,9139.73,1787.78,2396.1,4183.88,2644.03,1365.48,4009.51,8193.39,1602.46,2399.7,4002.16,3014.76,1479.15,4493.91,8496.07,1537.86,2253.29,3791.14,3115.13,1445.81,4560.94,8352.09,1310.41,2126.16,3436.57,2995.26,1486.84,4482.1,7918.67,1256.63,2290.31,3546.93,3255.72,1595.63,4851.35,8398.28,1247.09,2119.47,3366.56,3197.34,1528.78,4726.12,8092.69,935.71,1920.96,2856.67,2789.0,1243.2,4032.2,6888.87,539.52,1746.1,2285.62,2515.85,1670.7,4186.55,6472.17,655.72,1995.88,2651.6,3188.4,1686.65,4875.05,7526.65,598.0,2243.84,2841.84,1881.77,1064.04,2945.81,5787.65
Banana Bungulan,..REGION VI (WESTERN VISAYAS),11297.51,9656.77,20954.28,9654.93,9912.15,19567.08,40521.36,8336.83,8345.41,16682.24,9814.96,10164.2,19979.16,36661.4,8650.44,8369.95,17020.39,9875.92,10151.96,20027.88,37048.27,8403.29,8115.91,16519.2,9881.59,9989.61,19871.2,36390.41,8588.47,7882.6,16471.07,9981.27,9682.95,19664.22,36135.29,8223.04,8048.92,16271.96,10175.69,9440.12,19615.81,35887.77,8532.06,7557.55,16089.61,10137.44,9335.27,19472.71,35562.32,7893.82,7205.51,15099.33,10052.96,9097.4,19150.36,34249.69,8009.72,7148.81,15158.53,10060.44,8552.75,18613.19,33771.72,7920.4,7031.88,14952.28,9981.92,8302.59,18284.51,33236.79,7844.34,6977.55,14821.89,10116.44,8619.67,18736.11,33558.0
Banana Bungulan,..REGION VII (CENTRAL VISAYAS),2386.63,3635.18,6021.81,2089.51,2476.91,4566.42,10588.23,2485.45,3825.98,6311.43,2165.44,2619.85,4785.29,11096.72,2541.21,3600.62,6141.83,2141.69,2603.7,4745.39,10887.22,2572.77,2498.04,5070.81,1727.87,2828.05,4555.92,9626.73,2572.73,2999.07,5571.8,1961.14,3106.98,5068.12,10639.92,2463.57,3002.05,5465.62,1919.66,2886.72,4806.38,10272.0,2616.52,2730.43,5346.95,1623.88,2710.04,4333.92,9680.87,2890.25,2525.22,5415.47,1813.26,3281.12,5094.38,10509.85,2893.89,2723.22,5617.11,1836.08,3036.3,4872.38,10489.49,1584.48,1394.2,2978.68,1650.58,2801.32,4451.9,7430.58,2316.55,1827.3,4143.85,2055.47,2587.01,4642.48,8786.33
Banana Bungulan,..REGION VIII (EASTERN VISAYAS),5503.0,3826.12,9329.12,4506.03,8208.84,12714.87,22043.99,3522.51,2739.5,6262.01,4282.3,7174.93,11457.23,17719.24,3580.33,2746.47,6326.8,4308.04,7524.45,11832.49,18159.29,3444.39,2516.55,5960.94,4378.76,7571.39,11950.15,17911.09,3539.91,2578.46,6118.37,4476.2,7467.37,11943.57,18061.94,3511.52,2570.98,6082.5,4575.09,7400.2,11975.29,18057.79,3507.4,2586.39,6093.79,4613.9,7473.13,12087.03,18180.82,2860.7,2454.43,5315.12,4382.42,7451.57,11833.99,17149.11,2962.06,2566.69,5528.75,4607.68,7395.18,12002.86,17531.61,2232.08,2458.21,4690.29,3965.31,7031.81,10997.12,15687.41,2559.81,3589.65,6149.46,4237.1,6953.61,11190.7,17340.16
Banana Bungulan,..REGION IX (ZAMBOANGA PENINSULA),1254.29,2677.46,3931.75,4316.2,4824.79,9140.99,13072.74,1232.48,2564.34,3796.82,4308.6,4510.53,8819.13,12615.95,1214.57,2420.13,3634.7,4285.2,4359.97,8645.17,12279.87,1089.19,2059.36,3148.55,3797.5,4325.57,8123.07,11271.62,1077.68,2141.34,3219.02,3982.91,4515.3,8498.21,11717.23,1052.07,2200.47,3252.54,3990.74,4603.34,8594.08,11846.62,1005.69,2152.6,3158.29,3958.27,4776.71,8734.98,11893.27,1013.79,2163.82,3177.62,4119.02,4944.67,9063.69,12241.31,1032.09,2244.91,3277.0,4285.66,5116.58,9402.24,12679.24,1090.1,2316.96,3407.06,4410.49,5401.3,9811.79,13218.85,900.34,2035.46,2935.8,5058.65,534.12,5592.77,8528.56
Banana Bungulan,..REGION X (NORTHERN MINDANAO),4323.41,2721.92,7045.33,3787.25,3633.95,7421.2,14466.53,4309.76,2719.47,7029.23,3486.0,3623.87,7109.87,14139.1,4138.45,2546.9,6685.35,3434.45,3591.55,7026.0,13711.35,4088.3,2512.25,6600.55,3450.62,3566.23,7016.85,13617.4,4113.83,2624.15,6737.98,3461.82,3587.0,7048.82,13786.8,4110.87,2470.96,6581.83,3452.81,3525.56,6978.37,13560.2,4105.15,2428.75,6533.9,3339.54,3470.32,6809.86,13343.76,4032.23,2327.6,6359.83,3273.82,3448.46,6722.28,13082.1,3981.45,2300.29,6281.74,3254.97,3425.38,6680.35,12962.09,3833.48,2257.49,6090.97,3035.6,3340.37,6375.97,12466.94,3781.1,2229.27,6010.37,2934.2,3302.49,6236.69,12247.06
Banana Bungulan,..REGION XI (DAVAO REGION),640.1,570.38,1210.48,463.81,445.24,909.05,2119.53,635.6,537.36,1172.96,457.31,440.23,897.54,2070.5,544.46,506.52,1050.98,424.11,425.2,849.31,1900.29,479.83,480.12,959.95,439.84,273.56,713.4,1673.35,268.02,412.32,680.34,417.16,263.05,680.21,1360.55,183.72,267.69,451.41,285.76,261.42,547.18,998.59,176.78,186.5,363.28,207.16,256.43,463.59,826.87,173.04,178.7,351.74,200.06,253.91,453.97,805.71,169.18,171.28,340.46,196.23,251.34,447.57,788.03,166.3,163.74,330.04,190.83,247.54,438.37,768.41,167.76,163.82,331.58,189.55,245.27,434.82,766.4
Banana Bungulan,..REGION XII (SOCCSKSARGEN),2626.39,2555.37,5181.76,2627.08,2664.93,5292.01,10473.77,2631.36,2502.96,5134.32,2644.66,2678.11,5322.77,10457.09,2627.52,2367.16,4994.68,2473.92,2581.84,5055.76,10050.44,2510.21,1891.22,4401.43,1948.99,2398.63,4347.62,8749.05,2565.25,2035.38,4600.63,2034.09,2441.79,4475.88,9076.51,2749.6,2067.66,4817.26,2094.9,2600.79,4695.69,9512.95,2681.68,2028.4,4710.08,2121.55,2610.12,4731.67,9441.75,2762.36,1999.33,4761.69,2095.13,2638.65,4733.78,9495.47,2827.63,2026.03,4853.66,1994.7,2538.75,4533.45,9387.11,2779.72,2272.44,5052.16,2237.16,2628.48,4865.64,9917.79,3121.43,2479.28,5600.71,2285.25,2666.3,4951.54,10552.26
Banana Bungulan,..REGION XIII (CARAGA),484.06,376.15,860.21,417.5,393.62,811.12,1671.33,410.43,370.85,781.28,416.8,399.63,816.43,1597.71,391.82,334.76,726.58,370.89,352.17,723.07,1449.65,353.67,276.97,630.64,317.41,308.4,625.81,1256.45,382.03,251.04,633.07,282.58,258.63,541.21,1174.28,314.22,305.82,620.04,312.87,294.51,607.38,1227.42,313.26,321.46,634.72,316.91,295.21,612.12,1246.84,250.27,243.29,493.56,268.61,277.99,546.6,1040.16,234.18,234.99,469.17,265.04,272.82,537.86,1007.03,223.14,296.84,519.98,277.45,286.91,564.36,1084.34,221.56,307.0,528.56,87.95,466.21,554.16,1082.72
Banana Bungulan,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),9911.72,7559.9,17471.62,7703.5,7473.23,15176.73,32648.35,10036.8,7572.8,17609.6,8015.8,7805.5,15821.3,33430.9,10039.65,7488.7,17528.35,8212.5,7890.1,16102.6,33630.95,9933.0,7526.5,17459.5,8193.12,7826.2,16019.32,33478.82,9864.66,7599.45,17464.11,8223.24,7996.25,16219.49,33683.6,9885.25,7645.9,17531.15,8318.8,7998.0,16316.8,33847.95,9775.46,7651.71,17427.17,8301.54,8112.39,16413.93,33841.1,9888.35,7657.82,17546.17,8344.93,8148.86,16493.79,34039.96,9876.62,7678.2,17554.82,8334.06,8182.43,16516.49,34071.31,9887.64,7690.01,17577.65,8326.23,8166.73,16492.96,34070.61,9863.37,7703.95,17567.32,8341.8,8208.81,16550.61,34117.93
Banana Cavendish,PHILIPPINES,1000216.96,1065932.68,2066149.64,1033524.04,1130415.06,2163939.1,4230088.74,1078500.64,1097433.11,2175933.74,1114968.95,1157557.28,2272526.23,4448459.98,1129741.25,1109355.23,2239096.48,1146696.99,1181113.54,2327810.53,4566907.01,1112603.41,1139795.33,2252398.74,1176609.98,1209319.53,2385929.51,4638328.25,1171397.18,1193952.23,2365349.41,1232499.28,1238405.49,2470904.77,4836254.18,1193893.73,1220111.32,2414005.05,1246601.59,1258612.96,2505214.55,4919219.6,1195890.87,1211405.08,2407295.95,1225146.46,1215012.29,2440158.75,4847454.7,1158742.92,1178440.67,2337183.58,1196143.48,1209746.43,2405889.92,4743073.5,1157217.48,1180406.9,2337624.38,1180143.95,1175113.9,2355257.85,4692882.23,1130402.57,1188339.33,2318741.9,1158441.42,1171455.85,2329897.27,4648639.17,1116374.2,1167858.26,2284232.46,1173512.41,1186953.15,2360465.56,4644698.02
Banana Cavendish,..CORDILLERA ADMINISTRATIVE REGION (CAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.45,,10.45,10.45
Banana Cavendish,..REGION I (ILOCOS REGION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.63,2.23,2.23
Banana Cavendish,..REGION II (CAGAYAN VALLEY),105.39,13.16,118.55,48.05,70.35,118.4,236.95,99.76,10.4,110.16,67.83,75.65,143.48,253.64,93.19,20.25,113.44,69.4,72.75,142.15,255.59,85.52,43.32,128.84,125.45,71.75,197.2,326.04,75.68,41.78,117.46,127.33,73.22,200.55,318.01,80.6,42.55,123.15,129.55,72.49,202.04,325.19,78.14,42.17,120.31,137.35,72.73,210.08,330.39,79.37,45.36,124.73,142.86,67.0,209.86,334.59,81.43,47.83,129.26,160.28,64.32,224.6,353.86,87.25,53.3,140.55,170.96,65.66,236.62,377.17,91.84,56.2,148.04,165.62,63.5,229.12,377.16
Banana Cavendish,..REGION III (CENTRAL LUZON),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banana Cavendish,..REGION IV-A (CALABARZON),173.25,183.45,356.7,334.8,250.0,584.8,941.5,130.0,165.85,295.85,22.74,,22.74,318.59,50.0,236.06,286.06,260.0,390.0,650.0,936.06,300.0,307.56,607.56,129.53,231.26,360.79,968.35,40.52,142.43,182.95,136.93,279.96,416.89,599.83,112.38,230.81,343.19,100.8,207.49,308.29,651.48,225.28,203.57,428.85,189.77,259.71,449.48,878.33,264.95,285.85,550.8,195.81,290.8,486.61,1037.41,73.83,158.14,231.97,128.13,182.02,310.15,542.12,213.9,261.09,474.99,291.08,203.5,494.58,969.57,104.07,53.1,157.17,115.05,266.76,381.81,538.98
Banana Cavendish,..MIMAROPA REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.35,71.23,83.58,83.58,85.49,93.74,179.23,14.19,83.39,97.58,276.81,88.35,76.82,165.17,11.67,79.35,91.02,256.19,81.36,64.81,146.17,11.24,73.29,84.53,230.7,,,,,,,,,,,,,,,,,,0.2,2.8,3.0,3.0
Banana Cavendish,..REGION V (BICOL REGION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.06,72.06,72.06
Banana Cavendish,..REGION VI (WESTERN VISAYAS),435.73,309.81,745.54,253.03,489.41,742.44,1487.98,263.76,279.04,542.8,236.66,508.44,745.1,1287.9,292.52,297.24,589.76,233.06,495.48,728.54,1318.3,316.23,311.13,627.36,244.96,537.56,782.52,1409.88,313.55,412.09,725.64,266.19,649.63,915.82,1641.46,621.25,1074.44,1695.69,1161.56,1709.07,2870.63,4566.32,1029.2,1830.84,2860.04,1316.32,1600.94,2917.26,5777.3,727.02,1409.83,2136.85,1324.41,1619.74,2944.15,5081.0,710.11,1546.11,2256.22,1456.39,1508.5,2964.89,5221.11,717.6,1577.07,2294.67,1540.35,1827.22,3367.57,5662.24,673.29,2420.81,3094.1,1095.13,1283.54,2378.67,5472.77
Banana Cavendish,..REGION VII (CENTRAL VISAYAS),196.29,369.39,565.68,404.14,323.09,727.23,1292.91,386.2,342.19,728.39,805.19,772.82,1578.01,2306.4,413.56,610.92,1024.48,931.87,778.4,1710.27,2734.75,400.46,381.92,782.38,858.03,295.36,1153.39,1935.77,190.5,182.01,372.51,250.71,134.5,385.21,757.72,193.46,159.71,353.17,234.16,106.11,340.27,693.44,162.13,136.97,299.1,192.67,99.37,292.04,591.14,190.37,139.42,329.79,229.47,102.53,332.0,661.79,172.8,132.34,305.14,216.18,79.7,295.88,601.02,47.44,30.21,77.65,133.04,51.0,184.04,261.69,86.44,113.97,200.41,190.77,86.95,277.72,478.13
Banana Cavendish,..REGION VIII (EASTERN VISAYAS),52.66,39.01,91.67,38.1,21.56,59.66,151.33,15.67,20.75,36.42,15.45,18.46,33.91,70.32,16.1,22.15,38.24,18.78,22.85,41.63,79.87,17.7,24.24,41.94,22.04,24.4,46.44,88.38,18.6,25.13,43.73,20.15,27.15,47.3,91.03,16.74,23.75,40.49,20.32,22.54,42.86,83.35,19.65,26.32,45.97,21.31,24.43,45.74,91.71,15.88,22.51,38.39,21.28,25.25,46.53,84.92,17.21,23.0,40.21,21.3,26.18,47.48,87.69,16.43,21.66,38.09,22.74,25.99,48.73,86.82,16.0,17.6,33.6,54.09,26.24,80.33,113.93
Banana Cavendish,..REGION IX (ZAMBOANGA PENINSULA),33.38,153.73,187.11,72.1,340.61,412.71,599.82,107.98,88.74,196.72,66.62,55.54,122.16,318.88,43.18,61.95,105.13,52.22,42.62,94.84,199.97,29.69,56.26,85.95,44.03,39.73,83.76,169.71,28.86,59.3,88.16,46.98,36.68,83.66,171.82,29.92,58.9,88.82,47.32,34.13,81.45,170.27,28.24,57.18,85.42,45.96,35.06,81.02,166.44,27.61,57.86,85.47,47.08,36.11,83.19,168.66,28.37,60.42,88.79,44.51,34.86,79.37,168.16,29.08,62.87,91.95,42.21,35.6,77.81,169.76,25.22,52.59,77.81,43.73,32.06,75.79,153.6
Banana Cavendish,..REGION X (NORTHERN MINDANAO),273505.0,242719.6,516224.6,287216.5,316870.0,604086.5,1120311.1,281118.0,247370.5,528488.5,297180.95,322955.75,620136.7,1148625.2,287679.0,262485.0,550164.0,312733.72,337695.0,650428.72,1200592.72,302290.0,273850.0,576140.0,319773.0,341706.0,661479.0,1237619.0,340056.42,282736.0,622792.42,327108.0,346500.0,673608.0,1296400.42,346752.6,285613.75,632366.35,331189.57,350206.55,681396.12,1313762.47,350764.12,289601.51,640365.63,335244.54,354057.88,689302.42,1329668.05,350823.26,288139.64,638962.9,340636.71,358197.95,698834.66,1337797.56,368697.39,293648.79,662346.18,342009.7,360262.37,702272.07,1364618.25,368935.6,295226.89,664162.49,342762.27,361088.59,703850.86,1368013.35,364124.46,293152.95,657277.41,345813.71,363484.18,709297.89,1366575.3
Banana Cavendish,..REGION XI (DAVAO REGION),552541.62,654405.68,1206947.3,560715.88,624657.0,1185372.88,2392320.18,612448.61,669022.53,1281471.14,621471.35,634797.07,1256268.42,2537739.56,649377.63,670858.41,1320236.04,642069.3,642413.89,1284483.19,2604719.23,615654.11,691711.02,1307365.13,670724.3,656654.56,1327378.87,2634744.0,622418.38,699315.25,1321733.63,679792.04,654234.58,1334026.62,2655760.25,629301.1,711323.1,1340624.2,686132.38,657809.98,1343942.36,2684566.56,629476.43,705086.74,1334563.18,657328.71,603926.74,1261255.45,2595818.63,600223.72,679605.58,1279829.3,631105.46,594589.99,1225695.45,2505524.75,578559.49,680316.49,1258875.98,621697.54,586757.66,1208455.21,2467331.18,562989.7,673689.27,1236678.97,608871.38,590448.04,1199319.42,2435998.39,555415.61,671268.4,1226684.0,609093.94,589856.48,1198950.42,2425634.43
Banana Cavendish,..REGION XII (SOCCSKSARGEN),125564.44,134777.56,260342.0,131885.65,128390.54,260276.19,520618.19,124234.96,136194.09,260429.05,131921.81,129782.02,261703.83,522132.88,120424.31,128721.95,249146.26,120142.28,115459.18,235601.46,484747.72,123471.86,124527.84,247999.7,109776.85,123366.27,233143.12,481142.82,134856.64,161442.4,296299.04,145759.17,136073.15,281832.32,578131.36,143108.92,167538.81,310647.73,154789.97,142897.44,297687.41,608335.14,141717.73,158090.31,299808.04,154837.01,142995.16,297832.17,597640.21,134378.9,150116.1,284495.0,143143.01,144085.85,287228.86,571723.86,140401.28,152826.73,293228.01,153682.19,134290.57,287972.76,581200.77,142450.08,162257.76,304707.84,149341.18,131871.17,281212.35,585920.18,138522.24,159205.38,297727.62,151959.26,131656.37,283615.63,581343.25
Banana Cavendish,..REGION XIII (CARAGA),7352.39,10189.18,17541.57,13731.8,13979.3,27711.1,45252.67,13926.75,18027.32,31954.07,22413.36,22567.63,44980.99,76935.05,24829.77,20718.25,45548.02,24297.37,25059.54,49356.9,94904.92,24402.84,23914.24,48317.08,26730.28,25195.73,51926.01,100243.09,25063.03,24177.88,49240.91,29035.87,27327.24,56363.11,105604.02,26502.27,25083.66,51585.93,22992.77,23765.93,46758.7,98344.63,24951.59,27284.45,52236.04,25826.15,27932.09,53758.24,105994.28,28110.48,31555.54,59666.02,31512.25,30354.08,61866.33,121532.35,26525.04,25412.86,51937.9,13562.37,12873.82,26436.19,78374.09,12040.05,28811.01,40851.06,7975.85,6797.8,14773.65,55624.71,14420.38,15168.97,29589.35,17628.31,21073.71,38702.02,68291.37
Banana Cavendish,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40256.82,22772.1,63028.92,38824.0,45023.2,83847.2,146876.12,45768.95,25911.7,71680.65,40767.0,46023.9,86790.9,158471.55,46522.0,25323.05,71845.05,45889.0,58683.83,104572.83,176417.88,45635.0,24667.8,70302.8,48181.5,61196.91,109378.41,179681.21,48335.0,25417.96,73752.96,49943.56,72998.15,122941.71,196694.67,47089.0,28868.1,75957.1,49789.0,81697.83,131486.83,207443.93,47350.0,28968.2,76318.2,49995.0,83928.83,133923.83,210242.03,43820.0,26998.18,70818.18,47773.9,80303.84,128077.74,198895.92,41950.54,26234.18,68184.72,47165.36,79033.9,126199.26,194383.98,42875.44,26348.2,69223.64,47290.36,79041.29,126331.65,195555.29,42894.65,26348.29,69242.94,47340.55,79047.87,126388.42,195631.36
Banana Lakatan,PHILIPPINES,206653.36,257330.35,463983.71,248319.69,217728.27,466047.96,930031.68,207004.84,263851.01,470855.85,255438.14,228562.24,484000.38,954856.23,208418.43,255653.22,464071.65,267180.87,239243.3,506424.18,970495.82,189074.04,225096.73,414170.77,245138.01,239206.14,484344.16,898514.92,188325.06,227193.27,415518.33,249843.79,245620.99,495464.79,910983.12,192987.58,232196.23,425183.82,258074.2,246283.67,504357.87,929541.69,188038.37,216679.22,404717.59,255710.19,249289.42,504999.61,909717.19,187485.01,216913.08,404398.09,263324.53,257792.84,521117.37,925515.46,193950.94,234438.92,428389.86,270134.26,263010.51,533144.77,961534.63,192067.71,237113.11,429180.83,273321.38,264087.17,537408.54,966589.37,195408.55,227320.61,422729.16,266425.02,257446.84,523871.86,946601.02
Banana Lakatan,..CORDILLERA ADMINISTRATIVE REGION (CAR),927.3,1610.82,2538.12,1625.41,665.8,2291.21,4829.33,628.5,1499.37,2127.87,1871.18,604.54,2475.72,4603.59,659.6,1574.92,2234.52,1663.37,559.75,2223.12,4457.64,649.42,1606.24,2255.67,1722.36,298.15,2020.51,4276.17,421.16,443.51,864.67,1793.01,304.63,2097.64,2962.31,444.28,451.74,896.02,1585.85,254.63,1840.48,2736.5,310.25,271.34,581.59,1937.63,271.41,2209.04,2790.63,363.7,350.72,714.42,2298.13,252.56,2550.69,3265.11,348.12,309.94,658.06,2161.78,208.24,2370.02,3028.08,335.86,339.88,675.74,2097.53,215.05,2312.58,2988.32,333.14,338.91,672.05,1936.74,196.8,2133.54,2805.59
Banana Lakatan,..REGION I (ILOCOS REGION),265.41,180.93,446.34,135.58,362.35,497.93,944.27,253.34,176.96,430.31,134.37,343.29,477.66,907.96,237.5,168.72,406.22,131.34,316.41,447.75,853.97,222.67,161.78,384.45,136.11,286.49,422.6,807.05,193.73,186.93,380.65,140.45,297.85,438.3,818.96,197.86,193.17,391.03,140.19,205.48,345.67,736.71,179.37,174.25,353.62,136.27,195.28,331.55,685.18,182.71,172.65,355.36,141.75,203.26,345.01,700.37,181.38,157.24,338.61,140.67,193.4,334.06,672.68,175.81,160.09,335.9,148.37,199.77,348.14,684.04,183.71,157.06,340.78,129.48,178.21,307.69,648.46
Banana Lakatan,..REGION II (CAGAYAN VALLEY),7111.1,19609.02,26720.12,9568.63,4391.67,13960.3,40680.42,6090.85,18090.45,24181.3,8904.17,5700.91,14605.08,38786.38,6456.39,17869.31,24325.7,8580.85,3977.46,12558.31,36884.01,4574.07,17009.6,21583.67,8824.76,3810.56,12635.32,34218.99,2636.63,13636.96,16273.59,8140.19,4636.38,12776.57,29050.16,3535.58,17024.57,20560.15,8710.48,3129.45,11839.93,32400.08,2273.37,14062.53,16335.9,7961.1,3047.88,11008.98,27344.88,2770.71,15601.52,18372.23,9085.26,3470.11,12555.37,30927.6,2802.84,15166.92,17969.76,9539.85,4052.21,13592.06,31561.82,2942.03,14869.11,17811.14,9735.81,4299.03,14034.84,31845.98,3159.87,15655.95,18815.82,9792.81,4246.92,14039.73,32855.55
